Temperatura Ambiental (°C),Humedad,Temperatura de la muestra (°C),pH,"CE
(µS/cm)","STD
(mg/L)","STS
(mL sed/L)","OD
(mg/L)",Nivel (cm),Turbidez (NTU),"Dureza
(mg CaCO3/L)","Cloruros
(mg Cl-/L)"
18.716079144644993,0.2649368083762614,16.323948877712827,7.80008876016077,1221.1758844164112,461.0191375064376,61.31301304820783,1.9604810648208968,55.26200951746233,200.7531348404144,260.1826400354428,108.51801882216103
21.490471239326578,0.48287645082936204,20.422458838927884,8.017418952063887,903.0457753903517,704.3912210517632,17.41920580231342,2.2293006240724726,37.21159186867463,31.29327474235268,143.5477378026342,151.96633445689594
20.21174504448406,0.616613979089197,20.86918926275481,8.171062995514017,973.7789697869216,898.4371524107796,41.98955454798828,3.676671037573286,64.4446737343734,42.25529255221912,247.0707152988295,119.22205775096177
10.328569281784674,0.636151848780309,25.918992272945047,7.797919298529768,1576.4594794912991,723.7178192256665,90.78869312263032,0.8277403156707246,30.373568436686867,242.79250083501844,321.3435152933347,138.4744827733106
14.403359859065992,0.6480107836971605,14.49559335584123,8.011154289389632,1333.9913943188221,370.1650315088614,65.2252294780126,3.8779250203974964,14.816225533245074,177.96015693624338,101.78187381644337,141.98040243340756
14.829020958245737,0.800178467498931,24.099128632581184,8.002116237914379,1231.8357735352004,597.3354879094495,112.1196632196488,0.6843713205672077,54.372297640316006,141.26914303395066,151.56564789451625,146.88691743196787
24.437582477816026,0.5298254922189373,18.78586480595796,8.283771212421833,1293.0940567302282,706.9396607817182,104.54218324951646,1.0730314882340828,27.666881870433542,356.9122160021556,189.17386078107575,145.71821887586822
18.588318515789535,0.6807618723054196,27.438042699009387,8.154438650077957,1580.665495404244,494.61816963072465,94.68085654004284,2.387991298981697,35.87766999949777,311.78206402525916,141.60359856790984,103.11798903301847
19.417637225100606,0.35099717621402976,13.27514956706828,7.996646012048467,964.0527518837869,610.4554609576121,175.55618078054258,2.568163093712513,53.78671732478357,99.66614838194752,203.25644589001126,112.05382913297261
11.215206519760553,0.5998883039915699,20.69839099049357,7.694707401970336,1154.290451959853,603.3460777982593,40.07130407758061,1.7070262145376556,27.741209949113184,412.37261911462093,247.7222832522196,37.746367805971495
22.02763671081351,0.7754665809443945,14.797394394014251,8.097958660998907,1447.6011086483472,654.217566128857,122.7881636557238,0.13300497278967072,48.78432894765713,448.862061097445,195.17970959364953,76.27984818997537
9.409240125886269,0.7848555256017289,19.873612304316577,8.530783879170361,1013.4623720995079,516.3801447060066,26.655579751249405,1.4958008798525915,36.15149151428334,404.5408277800208,237.74487086030123,72.15894559611078
17.27046703357928,0.5545051690042215,19.70538702133226,8.102243199392706,1190.3879142625722,711.7515249473907,44.57039579591788,2.1321486392824895,51.71241490172317,96.09912295535088,121.93710002783713,65.5315324503066
22.06193239685252,0.34609673499291094,30.048173239344038,8.097452783338095,1312.784628559319,392.5157185242463,204.32878791375475,5.896613943723402,33.44802778971823,262.1150907499833,218.44980512272778,73.53771747670092
12.760582407483504,0.7484385183396189,20.01528392911234,8.471862160942296,919.9291860026817,654.3001582431723,2.557941649653216,2.1364625775455415,55.16068707401375,176.1508679918744,171.1419916419984,122.48472099473759
31.528650858209357,0.39787886115833776,17.3827689731226,8.268666114161473,1296.9588919117632,771.2301340065485,33.24790135128618,2.049280968680466,21.909561675083665,14.396086918022846,176.81394250337027,92.129510196656
